Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,2/22/2021,906,N281JB,JFK,10:27,10:30,130,115,3,10:42,12,0,0,0,0,0
B6,2/23/2021,312,N304JB,BOS,11:31,11:11,129,119,-20,11:25,14,0,0,0,0,0
B6,2/24/2021,312,N281JB,BOS,11:31,11:13,129,108,-18,11:22,9,0,0,0,0,0
B6,2/25/2021,312,N318JB,BOS,11:31,11:23,129,110,-8,11:36,13,0,0,0,0,0
B6,2/25/2021,563,N959JB,FLL,6:00,5:56,180,213,-4,6:33,37,0,0,29,0,0
B6,2/25/2021,906,N346JB,JFK,10:27,10:13,127,103,-14,10:25,12,0,0,0,0,0
B6,2/26/2021,312,N184JB,BOS,11:31,11:18,129,127,-13,11:37,19,0,0,0,0,0
B6,2/26/2021,563,N975JT,FLL,6:00,5:50,180,187,-10,6:19,29,0,0,0,0,0
B6,2/26/2021,906,N284JB,JFK,10:27,10:12,127,114,-15,10:25,13,0,0,0,0,0
B6,2/27/2021,312,N236JB,BOS,11:31,11:44,129,106,13,11:53,9,0,0,0,0,0
B6,2/27/2021,563,N905JB,FLL,6:00,5:55,180,171,-5,6:10,15,0,0,0,0,0
B6,2/28/2021,312,N354JB,BOS,11:31,11:24,129,123,-7,11:44,20,0,0,0,0,0
B6,2/28/2021,563,N2084J,FLL,6:00,5:50,180,186,-10,6:02,12,0,0,0,0,0
B6,2/28/2021,906,N351JB,JFK,10:27,10:42,127,119,15,11:08,26,0,0,0,0,0
B6,3/1/2021,312,N334JB,BOS,11:31,11:23,129,117,-8,11:34,11,0,0,0,0,0
B6,3/1/2021,563,N970JB,FLL,6:00,5:52,180,186,-8,6:17,25,0,0,0,0,0
B6,3/1/2021,906,N266JB,JFK,10:23,10:22,124,101,-1,10:34,12,0,0,0,0,0
B6,3/4/2021,312,N193JB,BOS,11:31,11:12,129,130,-19,11:29,17,0,0,0,0,0
B6,3/4/2021,563,N997JL,FLL,6:00,5:50,180,170,-10,6:07,17,0,0,0,0,0
B6,3/5/2021,312,N247JB,BOS,11:31,11:28,129,141,-3,11:55,27,0,0,0,0,0
B6,3/5/2021,563,N907JB,FLL,6:00,5:49,180,197,-11,6:17,28,0,0,0,0,0
B6,3/6/2021,312,N306JB,BOS,10:19,10:10,136,122,-9,10:22,12,0,0,0,0,0
B6,3/6/2021,563,N907JB,FLL,6:00,5:53,188,169,-7,6:07,14,0,0,0,0,0
B6,3/7/2021,312,N229JB,BOS,10:19,10:04,136,130,-15,10:18,14,0,0,0,0,0
B6,3/7/2021,563,N948JB,FLL,6:00,5:52,188,177,-8,6:18,26,0,0,0,0,0
B6,3/8/2021,312,N354JB,BOS,10:19,9:59,136,128,-20,10:16,17,0,0,0,0,0
B6,3/8/2021,563,N975JT,FLL,6:00,6:06,188,177,6,6:20,14,0,0,0,0,0
B6,3/9/2021,563,N913JB,FLL,6:00,6:03,188,175,3,6:19,16,0,0,0,0,0
B6,3/10/2021,563,N948JB,FLL,6:00,14:57,188,171,537,15:08,11,520,0,0,0,0
B6,3/11/2021,312,N328JB,BOS,10:19,11:13,136,125,54,11:28,15,43,0,0,0,0
B6,3/11/2021,563,N997JL,FLL,6:00,5:54,188,167,-6,6:12,18,0,0,0,0,0
B6,3/12/2021,312,N193JB,BOS,10:19,10:20,136,108,1,10:30,10,0,0,0,0,0
B6,3/12/2021,563,N975JT,FLL,6:00,5:45,188,170,-15,5:56,11,0,0,0,0,0
B6,3/13/2021,312,N266JB,BOS,10:19,10:10,136,110,-9,10:19,9,0,0,0,0,0
B6,3/13/2021,563,N952JB,FLL,6:00,5:51,188,192,-9,6:20,29,0,0,0,0,0
B6,3/14/2021,312,N192JB,BOS,10:19,11:32,136,126,73,11:45,13,63,0,0,0,0
B6,3/14/2021,563,N971JT,FLL,6:00,5:56,188,165,-4,6:12,16,0,0,0,0,0
B6,3/15/2021,312,N358JB,BOS,10:19,10:32,136,123,13,10:45,13,0,0,0,0,0
B6,3/15/2021,563,N907JB,FLL,6:00,5:49,188,175,-11,6:08,19,0,0,0,0,0
B6,3/16/2021,563,N2084J,FLL,6:00,5:55,188,203,-5,6:37,42,0,0,0,0,0
B6,3/17/2021,563,N995JL,FLL,6:00,5:59,188,168,-1,6:12,13,0,0,0,0,0
B6,3/18/2021,312,N247JB,BOS,10:19,12:10,136,132,111,12:32,22,2,0,0,0,105
B6,3/18/2021,563,N971JT,FLL,6:00,5:52,188,198,-8,6:07,15,0,0,0,0,0
B6,3/19/2021,312,N304JB,BOS,10:19,10:10,136,136,-9,10:26,16,0,0,0,0,0
B6,3/19/2021,563,N956JT,FLL,6:00,6:00,188,187,0,6:18,18,0,0,0,0,0
B6,3/20/2021,312,N358JB,BOS,10:19,10:08,136,133,-11,10:23,15,0,0,0,0,0
B6,3/20/2021,563,N994JL,FLL,6:00,5:54,188,200,-6,6:08,14,0,0,0,0,0
B6,3/21/2021,312,N231JB,BOS,10:19,10:04,136,130,-15,10:15,11,0,0,0,0,0
B6,3/21/2021,563,N948JB,FLL,6:00,5:58,188,176,-2,6:12,14,0,0,0,0,0
B6,3/22/2021,312,N229JB,BOS,10:19,10:05,136,128,-14,10:15,10,0,0,0,0,0
B6,3/22/2021,563,N975JT,FLL,6:00,5:52,188,170,-8,6:05,13,0,0,0,0,0
B6,3/23/2021,563,N999JQ,FLL,6:00,5:53,188,195,-7,6:12,19,0,0,0,0,0
B6,3/24/2021,563,N994JL,FLL,6:00,5:47,188,183,-13,6:00,13,0,0,0,0,0
B6,3/25/2021,312,N354JB,BOS,10:19,10:30,136,131,11,10:54,24,0,0,0,0,0
B6,3/25/2021,563,N950JT,FLL,6:00,5:56,188,181,-4,6:13,17,0,0,0,0,0
B6,3/25/2021,906,N339JB,JFK,11:20,11:20,129,125,0,11:46,26,0,0,0,0,0
B6,3/26/2021,312,N328JB,BOS,10:19,10:09,136,118,-10,10:23,14,0,0,0,0,0
B6,3/26/2021,563,N905JB,FLL,6:00,5:53,188,181,-7,6:08,15,0,0,0,0,0
B6,3/26/2021,906,N339JB,JFK,11:20,11:32,129,115,12,11:44,12,0,0,0,0,0
B6,3/27/2021,312,N354JB,BOS,10:19,10:17,136,118,-2,10:34,17,0,0,0,0,0
B6,3/27/2021,563,N998JE,FLL,6:00,5:59,188,179,-1,6:15,16,0,0,0,0,0
B6,3/27/2021,1106,N283JB,JFK,11:20,11:16,129,111,-4,11:37,21,0,0,0,0,0
B6,3/28/2021,312,N267JB,BOS,10:19,10:24,136,117,5,10:36,12,0,0,0,0,0
B6,3/28/2021,563,N913JB,FLL,6:00,5:49,188,190,-11,6:03,14,0,0,0,0,0
B6,3/28/2021,906,N228JB,JFK,11:20,11:21,129,141,1,11:40,19,0,0,0,0,0
B6,3/29/2021,312,N267JB,BOS,10:19,10:04,136,121,-15,10:15,11,0,0,0,0,0
B6,3/29/2021,563,N955JB,FLL,6:00,5:51,188,167,-9,6:04,13,0,0,0,0,0
B6,3/29/2021,906,N274JB,JFK,11:20,11:15,129,112,-5,11:26,11,0,0,0,0,0
B6,3/30/2021,563,N950JT,FLL,6:00,5:47,188,201,-13,6:01,14,0,0,0,0,0
B6,3/31/2021,563,N948JB,FLL,6:00,6:04,188,187,4,6:20,16,0,0,0,0,0
B6,4/1/2021,312,N216JB,BOS,10:19,10:09,136,128,-10,10:20,11,0,0,0,0,0
B6,4/1/2021,563,N966JT,FLL,6:25,7:12,188,174,47,7:30,18,0,0,0,33,0
B6,4/1/2021,906,N279JB,JFK,11:20,11:08,129,123,-12,11:23,15,0,0,0,0,0
B6,4/2/2021,312,N267JB,BOS,10:19,10:05,136,137,-14,10:19,14,0,0,0,0,0
B6,4/2/2021,563,N959JB,FLL,6:25,6:20,188,158,-5,6:35,15,0,0,0,0,0
B6,4/2/2021,906,N316JB,JFK,11:20,11:15,129,117,-5,11:28,13,0,0,0,0,0
B6,4/3/2021,312,N324JB,BOS,10:19,10:03,136,131,-16,10:16,13,0,0,0,0,0
B6,4/3/2021,563,N957JB,FLL,6:25,6:12,188,166,-13,6:27,15,0,0,0,0,0
B6,4/3/2021,1106,N274JB,JFK,11:20,11:17,129,116,-3,11:31,14,0,0,0,0,0
B6,4/4/2021,312,N265JB,BOS,10:19,10:10,136,124,-9,10:22,12,0,0,0,0,0
B6,4/4/2021,563,N913JB,FLL,6:25,6:15,188,162,-10,6:27,12,0,0,0,0,0
B6,4/4/2021,906,N279JB,JFK,11:20,11:14,129,120,-6,11:36,22,0,0,0,0,0
B6,4/5/2021,312,N216JB,BOS,10:19,10:12,136,123,-7,10:22,10,0,0,0,0,0
