Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
6/3/2021,87,56,71.5,3.4,0,7,0,0,0
6/4/2021,91,70,80.5,12.1,0,16,T,0,0
6/5/2021,92,69,80.5,11.8,0,16,0,0,0
6/6/2021,88,71,79.5,10.4,0,15,0,0,0
6/7/2021,79,73,76,6.6,0,11,0.01,0,0
6/8/2021,90,71,80.5,10.7,0,16,0.01,0,0
6/9/2021,87,72,79.5,9.4,0,15,0,0,0
6/10/2021,89,69,79,8.6,0,14,0,0,0
6/11/2021,91,71,81,10.3,0,16,0,0,0
6/12/2021,92,70,81,9.9,0,16,1.25,0,0
6/13/2021,85,70,77.5,6.1,0,13,0,0,0
6/14/2021,82,67,74.5,2.8,0,10,0,0,0
6/15/2021,79,62,70.5,-1.5,0,6,0,0,0
6/16/2021,78,61,69.5,-2.8,0,5,0,0,0
6/17/2021,89,58,73.5,0.9,0,9,T,0,0
6/18/2021,91,68,79.5,6.6,0,15,0.32,0,0
6/19/2021,91,68,79.5,6.3,0,15,T,0,0
6/20/2021,84,67,75.5,2,0,11,0.92,0,0
6/21/2021,75,59,67,-6.8,0,2,0,0,0
6/22/2021,75,55,65,-9,0,0,T,0,0
6/23/2021,80,65,72.5,-1.8,0,8,T,0,M
6/24/2021,76,69,72.5,-2,0,8,0.11,0,0
6/25/2021,77,70,73.5,-1.2,0,9,0.81,0,0
6/26/2021,82,71,76.5,1.6,0,12,1.42,0,0
6/27/2021,84,68,76,0.8,0,11,0,0,0
6/28/2021,85,66,75.5,0.1,0,11,1.37,0,0
6/29/2021,87,72,79.5,4,0,15,0.68,0,0
6/30/2021,82,71,76.5,0.8,0,12,0.08,0,0
7/1/2021,78,62,70,-5.9,0,5,0.16,0,0
7/2/2021,74,61,67.5,-8.5,0,3,0,0,0
7/3/2021,86,58,72,-4.2,0,7,0,0,0
7/4/2021,90,69,79.5,3.2,0,15,0,0,0
7/5/2021,91,73,82,5.6,0,17,0,0,0
7/6/2021,92,77,84.5,8,0,20,0,0,0
7/7/2021,91,69,80,3.4,0,15,T,0,0
7/8/2021,69,61,65,-11.7,0,0,0,0,0
7/9/2021,76,58,67,-9.7,0,2,T,0,0
7/10/2021,76,65,70.5,-6.3,0,6,0.1,0,0
7/11/2021,70,67,68.5,-8.4,0,4,0.14,0,0
7/12/2021,75,67,71,-5.9,0,6,0.17,0,0
7/13/2021,81,70,75.5,-1.4,0,11,0.09,0,0
7/14/2021,85,70,77.5,0.6,0,13,T,0,0
7/15/2021,81,68,74.5,-2.4,0,10,0.28,0,0
7/16/2021,75,67,71,-5.9,0,6,0.01,0,0
7/17/2021,79,69,74,-2.9,0,9,0,0,0
7/18/2021,83,68,75.5,-1.4,0,11,0,0,0
7/19/2021,84,67,75.5,-1.4,0,11,0,0,0
7/20/2021,89,67,78,1.1,0,13,0,0,0
7/21/2021,76,67,71.5,-5.4,0,7,0,0,0
7/22/2021,86,66,76,-0.8,0,11,T,0,0
7/23/2021,91,74,82.5,5.7,0,18,0,0,0
7/24/2021,93,75,84,7.3,0,19,0.47,0,0
7/25/2021,91,73,82,5.3,0,17,0,0,0
7/26/2021,93,69,81,4.4,0,16,0,0,0
7/27/2021,88,72,80,3.4,0,15,0,0,0
7/28/2021,90,74,82,5.5,0,17,0.25,0,0
7/29/2021,89,72,80.5,4,0,16,0.25,0,0
7/30/2021,76,67,71.5,-4.9,0,7,T,0,0
